Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,eye_height_mV,SSN_mV,setup_margin_ps,score
28,60,10,47,0.0,352.9533840000002,76.66209999999967,55.439916999999916,1.0
28,60,10,100,0.0,352.9869509999994,76.66209999999967,55.43773950000001,1.0
28,60,10,220,0.0,353.0322788749997,76.66209999999967,55.43475075416657,1.0
28,60,10,470,0.0,353.06889426249995,76.66209999999967,55.43231431249991,1.0
28,60,10,680,0.0,353.07503077440475,76.66209999999967,55.431897876785605,1.0
28,60,10,1000,0.0,353.07783157440485,76.66209999999967,55.431695635118984,1.0
28,60,10,2200,0.0,353.0828006994049,76.66209999999967,55.431365676785624,1.0
28,60,10,4700,0.0,353.0855798244047,76.66209999999967,55.431192801785684,1.0
28,80,10,47,0.0,371.462351500001,92.33760000000017,55.163286999999826,1.0
28,80,10,100,0.0,371.5065090000004,92.33760000000017,55.16077949999992,1.0
