Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,120.0,10.0,100.0,0.0,34.5193,68.5716,389.0412,111.2861,285.2357,54.8479,46.5543,0
28.0,120.0,10.0,1000.0,0.0,34.5296,68.5606,389.1449,111.2863,285.2433,54.8434,46.5632,0
28.0,120.0,10.0,220.0,0.0,34.5256,68.5649,389.1041,111.2862,285.2403,54.8452,46.5597,0
28.0,120.0,10.0,2200.0,0.0,34.5302,68.5599,389.1513,111.2863,285.2437,54.8431,46.5637,0
28.0,120.0,10.0,47.0,0.0,34.5065,68.5853,388.9112,111.2859,285.2262,54.8535,46.5431,0
28.0,120.0,10.0,470.0,0.0,34.5283,68.5619,389.1319,111.2862,285.2423,54.844,46.5621,0
28.0,120.0,10.0,4700.0,0.0,34.5305,68.5596,389.154,111.2863,285.2439,54.843,46.564,0
28.0,120.0,10.0,680.0,0.0,34.5291,68.5611,389.1396,111.2863,285.2429,54.8436,46.5627,0
28.0,120.0,15.0,100.0,0.0,28.7158,98.3151,289.2694,109.3916,293.4282,56.946,42.358,0
28.0,120.0,15.0,1000.0,0.0,28.7181,98.3137,289.2968,109.393,293.4361,56.9461,42.3578,0
28.0,120.0,15.0,220.0,0.0,28.7172,98.3142,289.286,109.3925,293.433,56.9461,42.3579,0
28.0,120.0,15.0,2200.0,0.0,28.7182,98.3136,289.2984,109.3931,293.4366,56.9461,42.3578,0
28.0,120.0,15.0,47.0,0.0,28.713,98.3168,289.2351,109.3898,293.4184,56.9459,42.3583,0
28.0,120.0,15.0,470.0,0.0,28.7178,98.3139,289.2933,109.3928,293.4351,56.9461,42.3578,0
28.0,120.0,15.0,4700.0,0.0,28.7183,98.3136,289.2991,109.3931,293.4368,56.9461,42.3578,0
28.0,120.0,15.0,680.0,0.0,28.7179,98.3138,289.2953,109.3929,293.4357,56.9461,42.3578,0
28.0,120.0,20.0,100.0,0.0,31.8243,125.0748,322.6977,138.1926,301.2519,54.2309,47.7882,0
28.0,120.0,20.0,1000.0,0.0,31.8371,125.0641,322.8419,138.1937,301.26,54.228,47.7941,0
28.0,120.0,20.0,220.0,0.0,31.8321,125.0683,322.7851,138.1933,301.2568,54.2291,47.7918,0
28.0,120.0,20.0,2200.0,0.0,31.8379,125.0634,322.8507,138.1937,301.2605,54.2278,47.7945,0
28.0,120.0,20.0,47.0,0.0,31.8083,125.0882,322.5159,138.1913,301.2417,54.2345,47.7809,0
28.0,120.0,20.0,470.0,0.0,31.8355,125.0654,322.8239,138.1935,301.259,54.2283,47.7934,0
28.0,120.0,20.0,4700.0,0.0,31.8382,125.0631,322.8546,138.1938,301.2607,54.2277,47.7946,0
28.0,120.0,20.0,680.0,0.0,31.8364,125.0646,322.8344,138.1937,301.2595,54.2281,47.7938,0
28.0,120.0,25.0,100.0,0.0,32.5941,153.6822,354.3999,125.0056,297.1016,53.97,48.31,0
28.0,120.0,25.0,1000.0,0.0,32.6064,153.6712,354.5203,125.0062,297.1095,53.9658,48.3183,0
28.0,120.0,25.0,220.0,0.0,32.6015,153.6755,354.4729,125.006,297.1064,53.9675,48.315,0
28.0,120.0,25.0,2200.0,0.0,32.6072,153.6706,354.5276,125.0063,297.11,53.9656,48.3188,0
28.0,120.0,25.0,47.0,0.0,32.5786,153.6959,354.2491,125.0047,297.0916,53.9752,48.2996,0
28.0,120.0,25.0,470.0,0.0,32.6049,153.6726,354.5052,125.0062,297.1085,53.9664,48.3173,0
28.0,120.0,25.0,4700.0,0.0,32.6075,153.6703,354.5309,125.0063,297.1102,53.9655,48.319,0
28.0,120.0,25.0,680.0,0.0,32.6058,153.6718,354.514,125.0062,297.1091,53.9661,48.3179,0
28.0,120.0,5.0,100.0,0.0,29.9854,43.4325,285.142,142.7576,292.0785,54.612,47.0259,0
28.0,120.0,5.0,1000.0,0.0,29.9904,43.4271,285.2149,142.7591,292.0866,54.6114,47.0272,0
28.0,120.0,5.0,220.0,0.0,29.9884,43.4292,285.1862,142.7585,292.0834,54.6116,47.0267,0
28.0,120.0,5.0,2200.0,0.0,29.9907,43.4267,285.2193,142.7592,292.0871,54.6113,47.0273,0
28.0,120.0,5.0,47.0,0.0,29.9791,43.4393,285.0508,142.7557,292.0683,54.6129,47.0243,0
28.0,120.0,5.0,470.0,0.0,29.9898,43.4277,285.2058,142.7589,292.0856,54.6115,47.0271,0
28.0,120.0,5.0,4700.0,0.0,29.9909,43.4266,285.2213,142.7592,292.0873,54.6113,47.0273,0
28.0,120.0,5.0,680.0,0.0,29.9902,43.4273,285.2111,142.759,292.0861,54.6114,47.0272,0
28.0,40.0,10.0,100.0,0.0,12.5404,64.3701,316.9269,52.4188,198.7059,55.8942,44.4617,1
28.0,40.0,10.0,1000.0,0.0,12.5496,64.3477,317.0003,52.4194,198.7113,55.889,44.4719,1
28.0,40.0,10.0,220.0,0.0,12.5458,64.3569,316.9702,52.4192,198.7092,55.8912,44.4676,1
28.0,40.0,10.0,2200.0,0.0,12.5502,64.3463,317.0049,52.4194,198.7116,55.8887,44.4726,1
28.0,40.0,10.0,47.0,0.0,12.5317,64.3925,316.8524,52.4181,198.6993,55.8985,44.4529,1
28.0,40.0,10.0,470.0,0.0,12.5484,64.3507,316.9908,52.4193,198.7106,55.8897,44.4705,1
28.0,40.0,10.0,4700.0,0.0,12.5505,64.3457,317.007,52.4194,198.7117,55.8886,44.4729,1
28.0,40.0,10.0,680.0,0.0,12.5491,64.349,316.9964,52.4194,198.711,55.8893,44.4713,1
28.0,40.0,15.0,100.0,0.0,8.7814,93.7744,263.9653,44.0585,200.1531,57.3749,41.5002,1
28.0,40.0,15.0,1000.0,0.0,8.7832,93.7683,263.9954,44.0591,200.1584,57.3751,41.4998,1
28.0,40.0,15.0,220.0,0.0,8.7825,93.7706,263.9838,44.0589,200.1563,57.375,41.5,1
